Hardware Time,Global Time\Signal,CAN1.Diag703.Diag703_Resp_0,CAN1.Diag703.Diag703_Resp_1,CAN1.Diag703.Diag703_Resp_2,CAN1.Diag703.Diag703_Resp_3,CAN1.Diag703.Diag703_Resp_4,CAN1.Diag703.Diag703_Resp_5,CAN1.Diag703.Diag703_Resp_6,CAN1.Diag703.Diag703_Resp_7,Raw Data
364.989952,2021-05-21 22:03:04.989,34,0,0,0,14,49,0,0,CAN=364.989952 Rx 0 $703 D 8 22 00 00 00 0E 31 00 00 
365.040945,2021-05-21 22:03:05.040,35,15,49,0,0,18,49,0,CAN=365.040945 Rx 0 $703 D 8 23 0F 31 00 00 12 31 00 
365.091948,2021-05-21 22:03:05.091,36,0,231,48,0,0,232,48,CAN=365.091948 Rx 0 $703 D 8 24 00 E7 30 00 00 E8 30 
365.142943,2021-05-21 22:03:05.142,37,0,0,230,48,0,0,25,CAN=365.142943 Rx 0 $703 D 8 25 00 00 E6 30 00 00 19 
365.19394,2021-05-21 22:03:05.193,38,0,0,0,25,0,0,0,CAN=365.19394 Rx 0 $703 D 8 26 00 00 00 19 00 00 00 
365.244933,2021-05-21 22:03:05.244,39,25,0,0,0,151,5,0,CAN=365.244933 Rx 0 $703 D 8 27 19 00 00 00 97 05 00 
365.29593,2021-05-21 22:03:05.295,40,0,150,5,0,0,150,5,CAN=365.29593 Rx 0 $703 D 8 28 00 96 05 00 00 96 05 
365.346929,2021-05-21 22:03:05.346,41,0,0,25,0,0,0,25,CAN=365.346929 Rx 0 $703 D 8 29 00 00 19 00 00 00 19 
365.39793,2021-05-21 22:03:05.397,42,0,0,0,25,0,0,0,CAN=365.39793 Rx 0 $703 D 8 2A 00 00 00 19 00 00 00 
365.504017,2021-05-21 22:03:05.504,16,76,113,0,0,65,13,0,CAN=365.504017 Rx 0 $703 D 8 10 4C 71 00 00 41 0D 00 
365.505163,2021-05-21 22:03:05.505,33,0,0,9,0,0,0,25,CAN=365.505163 Rx 0 $703 D 8 21 00 00 09 00 00 00 19 
365.555918,2021-05-21 22:03:05.555,34,0,0,0,8,49,0,0,CAN=365.555918 Rx 0 $703 D 8 22 00 00 00 08 31 00 00 
